CornellBox Render耗时: 1.393034978s
CornellBox Render耗时: 1.513615896s
CornellBox Render耗时: 287.487551ms
CornellBox Render耗时: 302.244555ms
CornellBox Render耗时: 429.311037ms
CornellBox Render耗时: 1.864647957s
CornellBox Render耗时: 405.55519ms
CornellBox Render耗时: 2.355416371s
CornellBox Render耗时: 42.665988615s
CornellBox Render耗时: 213.001424073s
CornellBox Render耗时: 147.279111532s
CornellBox Render耗时: 150.242939849s
CornellBox Render耗时: 147.79323603s
CornellBox Render耗时: 176.315394579s
CornellBox Render耗时: 196.315490094s
CornellBox Render耗时: 41.240072118s
CornellBox Render耗时: 419.31136891s
CornellBox Render耗时: 51.171356882s
CornellBox Render耗时: 51.251679565s
CornellBox Render耗时: 83.680637213s
CornellBox Render耗时: 892.926490923s
FinalScene Render耗时: 2.452199848s
FinalScene Render耗时: 25.955680562s
FinalScene Render耗时: 25.584505985s
FinalScene Render耗时: 19.411190054s
FinalScene Render耗时: 34.30078576s
FinalScene Render耗时: 29.816716747s
FinalScene Render耗时: 24.70786389s
FinalScene Render耗时: 20.635770332s
FinalScene Render耗时: 20.354531518s
FinalScene Render耗时: 23.936726986s
FinalScene Render耗时: 17.837183006s
FinalScene Render耗时: 16.707795187s
FinalScene Render耗时: 16.781074651s
FinalScene Render耗时: 13.270387293s
FinalScene Render耗时: 15.111630002s
FinalScene Render耗时: 17.380623356s
FinalScene Render耗时: 18.975780658s
FinalScene Render耗时: 23.487743565s
FinalScene Render耗时: 28.953662978s
FinalScene Render耗时: 31.151436095s
FinalScene Render耗时: 31.123522106s
FinalScene Render耗时: 29.785494843s
FinalScene Render耗时: 29.522819105s
FinalScene Render耗时: 28.759721671s
FinalScene Render耗时: 29.247007457s
FinalScene Render耗时: 30.697881491s
FinalScene Render耗时: 29.034709185s
FinalScene Render耗时: 31.970937784s
FinalScene Render耗时: 29.0582919s
FinalScene Render耗时: 27.84644234s
FinalScene Render耗时: 28.200381091s
FinalScene Render耗时: 27.982971356s
FinalScene Render耗时: 28.030810883s
FinalScene Render耗时: 29.86341628s
FinalScene Render耗时: 28.009950487s
FinalScene Render耗时: 26.2132241s
FinalScene Render耗时: 25.839685847s
FinalScene Render耗时: 26.020660512s
FinalScene Render耗时: 26.092851213s
FinalScene Render耗时: 26.434190501s
FinalScene Render耗时: 26.425924656s
FinalScene Render耗时: 25.947494253s
FinalScene Render耗时: 30.341142748s
FinalScene Render耗时: 30.484301713s
FinalScene Render耗时: 23.164814632s
FinalScene Render耗时: 24.490622024s
FinalScene Render耗时: 25.313592723s
FinalScene Render耗时: 24.634549396s
FinalScene Render耗时: 25.314763012s
FinalScene Render耗时: 23.22875486s
FinalScene Render耗时: 23.217208454s
FinalScene Render耗时: 41.881167674s
FinalScene Render耗时: 41.60391422s
FinalScene Render耗时: 42.156775935s
FinalScene Render耗时: 44.051317935s
